"여가활동별(1)",2023,2023,2023,2023
"여가활동별(1)",추정수 (명),평균 (분),중앙값 (분),표준오차 (분)
"텔레비전 보기(TV로 영화시청 포함)",141852,185.63,180.00,2.523
"라디오 듣기",3656,152.86,120.00,12.638
"영화, 연극, 연주회 관람",409,94.97,75.37,13.243
"컴퓨터 또는 인터넷",23826,136.32,120.00,4.356
"운동하기(헬스, 축구, 수영 등)",10723,101.39,90.00,5.357
"예술 활동(악기연주, 글쓰기, 춤 등)",2573,94.96,60.00,10.069
"독서, 학습(언어공부, 강의듣기 등)",3388,133.56,120.00,15.995
"휴식(낮잠, 목욕탕가기)",9087,145.87,120.00,10.568
"자원봉사 활동",281,134.36,120.00,17.616
"친구 및 가족모임",6131,147.63,120.00,11.817
"바둑, 장기",449,143.43,60.00,53.164
"종교 활동",3615,101.31,60.00,9.040
"집주변 산책",12249,82.60,60.00,5.354
"동/식물 기르기",2583,117.06,120.00,10.453
"기타",605,118.33,60.00,28.904
